Course Code,Course Name,URL,Term
BAN 520,Markov Decision Process,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=520,"Fall, Spring"
BAN 521,Prescriptive Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=521,"Fall, Spring"
BAN 522,Revenue Management,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=522,"Fall, Spring"
BAN 523,Group Decision Making under Multiple Criteria,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=523,"Fall, Spring"
BAN 524,CRM using Location Intelligence,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=524,"Fall, Spring"
BAN 525,Microeconomics I,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=525,"Fall, Spring"
BAN 526,Business Intelligence and Decision Support Systems,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=526,"Fall, Spring"
BAN 527,Descriptive Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=527,"Fall, Spring"
BAN 528,Microeconomics II,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=528,"Fall, Spring"
BAN 529,Econometrics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=529,"Fall, Spring"
BAN 530,Digital Enabled Business Transformation,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=530,"Fall, Spring"
BAN 531,Systems Simulation,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=531,"Fall, Spring"
BAN 532,Machine Learning,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=532,"Fall, Spring"
BAN 533,Stochastic Processes,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=533,"Fall, Spring"
BAN 535,Neural Networks,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=535,"Fall, Spring"
BAN 537,Systems Dynamics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=537,"Fall, Spring"
BAN 539,Data Mining,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=539,"Fall, Spring"
BAN 599,Graduate Seminar,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=599,"Fall, Spring"
BAN 600,Master Thesis,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=600,"Fall, Spring"
BAN 800,Data Driven Decision Making,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=800,"Fall, Spring"
BAN 801,Marketing Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=801,"Fall, Spring"
BAN 803,Operations Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=803,"Fall, Spring"
BAN 804,Artificial Intelligence,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=804,"Fall, Spring"
BAN 805,Predictive Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=805,"Fall, Spring"
BAN 806,Time Series Analysis,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=806,"Fall, Spring"
BAN 807,Financial Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=807,"Fall, Spring"
BAN 809,Project Management in Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=809,"Fall, Spring"
BAN 810,Cyber Security Law,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=810,"Fall, Spring"
BAN 816,Social Media Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=816,"Fall, Spring"
BAN 821,Optimization and Simulation,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=821,"Fall, Spring"
BAN 827,Descriptive Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=827,"Fall, Spring"
BAN 830,Digital Enabled Business Transformation,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=830,"Fall, Spring"
BAN 831,Data Warehousing and Business Intelligence,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=831,"Fall, Spring"
BAN 835,Computational Tools and IT for Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=835,"Fall, Spring"
BAN 840,Digitial Transformation & Innovation,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=840,"Fall, Spring"
BAN 845,Digital Transformation,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=845,"Fall, Spring"
BAN 853,Database Management,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=853,"Fall, Spring"
BAN 871,Design Thinking and Power of Story Telling in Business,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=871,"Fall, Spring"
BAN 872,Business Simulation,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=872,"Fall, Spring"
BAN 892,Applied Advanced Analytics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=892,"Fall, Spring"
BAN 899,Graduation Project,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=899,"Fall, Spring"
BAN 900,Data Driven Decision Making,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BAN&crse_numb_in=900,"Fall, Spring"
BIO 301,Introduction to Molecular Biology,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BIO&crse_numb_in=301,"Fall, Spring"
BIO 301L,Introduction to Molecular Biology - Lab,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BIO&crse_numb_in=301L,"Fall, Spring"
BIO 303,Genetics,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BIO&crse_numb_in=303,"Fall, Spring"
BIO 303L,Genetics - Lab.,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BIO&crse_numb_in=303L,"Fall, Spring"
BIO 304,Biological Function and Structure,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BIO&crse_numb_in=304,"Fall, Spring"
BIO 306,Microbiology,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=BIO&crse_numb_in=306,"Fall, Spring"
