Term,Course Code,Section,CRN,Course Name,Time,Days,Location,Instructor
Fall,MART 810,0,13305,Organizational Development and Transformation,1:00 pm - 4:00 pm,S,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 810,0,13305,Organizational Development and Transformation,1:00 pm - 4:00 pm,S,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 810,0,13305,Organizational Development and Transformation,1:00 pm - 4:00 pm,S,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 810,0,13305,Organizational Development and Transformation,9:00 am - 12:00 pm,S,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 811,0,13306,Stakeholder & Internal Communication: Reputation Management,7:00 pm - 10:00 pm,M,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 824,0,13301,Strategy Transformation,9:00 am - 12:00 pm,S,Altunizade Campus 112,Oğuz   Babüroğlu
Fall,MART 824,0,13301,Strategy Transformation,1:00 pm - 4:00 pm,S,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 824,0,13301,Strategy Transformation,7:00 pm - 10:00 pm,M,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 824,0,13301,Strategy Transformation,9:00 am - 12:00 pm,S,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 824,0,13301,Strategy Transformation,1:00 pm - 4:00 pm,S,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 824,0,13301,Strategy Transformation,7:00 pm - 10:00 pm,M,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,MART 824,0,13301,Strategy Transformation,7:00 pm - 10:00 pm,T,Altunizade Campus 201,Oğuz   Babüroğlu
Fall,ARA 510,0,13322,Basic Arabic I,8:40 am - 11:30 am,W,Fac. of Engin. and Nat. Sci. L047,Muhammed Fatih  Büyükkörükcü
Fall,ARA 510D,0,13324,Basic Arabic I Discussion,2:40 pm - 4:30 pm,R,Fac. of Engin. and Nat. Sci. L048,Muhammed Fatih  Büyükkörükcü
Fall,ARA 530,0,13323,Intermediate Arabic I,12:40 pm - 3:30 pm,T,Fac.of Arts and Social Sci. 1076,Muhammed Fatih  Büyükkörükcü
Fall,ARA 530D,0,13325,Intermediate Arabic I Discussion,3:40 pm - 4:30 pm,T,Fac.of Arts and Social Sci. 1076,Muhammed Fatih  Büyükkörükcü
Fall,ARA 530D,0,13325,Intermediate Arabic I Discussion,1:40 pm - 2:30 pm,W,Fac.of Arts and Social Sci. 1076,Muhammed Fatih  Büyükkörükcü
Fall,BAN 506,0,13148,Fundamentals of Data Driven Business Decisions,7:00 pm - 10:00 pm,M,Altunizade Campus 105,Abdullah   Daşcı
Fall,BAN 800,0,13263,Data Driven Decision Making,2:00 pm - 5:30 pm,S,Sabancı Business School G013,Can   Akkan
Fall,BAN 800,0,13263,Data Driven Decision Making,7:00 pm - 10:00 pm,F,Altunizade Campus 202,Can   Akkan
Fall,BAN 800,0,13263,Data Driven Decision Making,9:00 am - 1:00 pm,S,Altunizade Campus 202,Can   Akkan
Fall,BAN 800,0,13263,Data Driven Decision Making,2:00 pm - 5:30 pm,S,Sabancı Business School G013,Can   Akkan
Fall,BAN 800,0,13263,Data Driven Decision Making,7:00 pm - 10:00 pm,F,Altunizade Campus 202,Can   Akkan
Fall,BAN 800,0,13263,Data Driven Decision Making,9:00 am - 1:00 pm,S,Altunizade Campus 202,Can   Akkan
Fall,BAN 805,0,13232,Predictive Analytics,7:00 pm - 10:00 pm,T,Altunizade Campus 105,Altuğ   Tanaltay
Fall,BAN 805,0,13232,Predictive Analytics,9:30 am - 12:30 pm,S,Altunizade Campus 105,Altuğ   Tanaltay
Fall,BAN 805,0,13232,Predictive Analytics,7:00 pm - 10:00 pm,T,Altunizade Campus 105,Altuğ   Tanaltay
Fall,BAN 805,0,13232,Predictive Analytics,9:30 am - 12:30 pm,S,Altunizade Campus 105,Altuğ   Tanaltay
Fall,BAN 827,0,13231,Descriptive Analytics,7:00 pm - 10:00 pm,R,Altunizade Campus 105,Abdullah   Daşcı
Fall,BAN 827,0,13231,Descriptive Analytics,1:30 pm - 4:30 pm,S,Altunizade Campus 105,Abdullah   Daşcı
Fall,BAN 827,0,13231,Descriptive Analytics,1:30 pm - 4:30 pm,S,Altunizade Campus 105,Abdullah   Daşcı
Fall,BAN 831,0,13233,Data Warehousing and Business Intelligence,7:00 pm - 10:00 pm,R,Altunizade Campus 105,Mehmet Yasin  Ulukuş
Fall,BAN 831,0,13233,Data Warehousing and Business Intelligence,1:30 pm - 4:30 pm,S,Altunizade Campus 105,Mehmet Yasin  Ulukuş
Fall,BAN 831,0,13233,Data Warehousing and Business Intelligence,7:00 pm - 10:00 pm,R,Altunizade Campus 105,Mehmet Yasin  Ulukuş
Fall,BAN 831,0,13233,Data Warehousing and Business Intelligence,1:30 pm - 4:30 pm,S,Altunizade Campus 105,Mehmet Yasin  Ulukuş
Fall,BAN 835,0,13230,Computational Tools and IT for Analytics,7:00 pm - 10:00 pm,T,Altunizade Campus 105,Altuğ   Tanaltay
Fall,BAN 835,0,13230,Computational Tools and IT for Analytics,9:30 am - 12:30 pm,S,Altunizade Campus 105,Altuğ   Tanaltay
Fall,BAN 835,0,13230,Computational Tools and IT for Analytics,9:30 am - 12:30 pm,S,Altunizade Campus 105,Altuğ   Tanaltay
Fall,BAN 835,0,13230,Computational Tools and IT for Analytics,7:00 pm - 10:00 pm,T,Altunizade Campus 105,Altuğ   Tanaltay
Fall,BAN 900,0,13260,Data Driven Decision Making,9:00 am - 1:00 pm,S,Sabancı Business School G013,Can   Akkan
Fall,BAN 900,0,13260,Data Driven Decision Making,7:00 pm - 10:00 pm,F,Altunizade Campus 202,Can   Akkan
Fall,BAN 900,0,13260,Data Driven Decision Making,2:00 pm - 7:00 pm,S,Altunizade Campus 202,Can   Akkan
Fall,BAN 900,0,13260,Data Driven Decision Making,9:00 am - 1:00 pm,S,Sabancı Business School G013,Can   Akkan
Fall,BAN 900,0,13260,Data Driven Decision Making,2:00 pm - 7:00 pm,S,Altunizade Campus 202,Can   Akkan
Fall,BAN 900,0,13260,Data Driven Decision Making,7:00 pm - 10:00 pm,F,Sabancı Business School G013,Can   Akkan
Fall,BAN 900,0,13260,Data Driven Decision Making,9:00 am - 1:00 pm,S,Sabancı Business School G013,Can   Akkan
Fall,CHEM 301,0,10073,Inorganic Chemistry,11:40 am - 1:30 pm,M,Fac. of Engin. and Nat. Sci. L062,Alp   Yürüm
Fall,CHEM 301,0,10073,Inorganic Chemistry,1:40 pm - 2:30 pm,T,Fac. of Engin. and Nat. Sci. L062,Alp   Yürüm
Fall,CHEM 301L,0,10076,Inorganic Chemistry Lab,9:40 am - 12:30 pm,W,Fac. of Engin. and Nat. Sci. G049/G050,Alp   Yürüm
Fall,CHEM 405,0,11931,Electrochemistry,11:40 am - 12:30 pm,R,Fac. of Engin. and Nat. Sci. L056,Selmiye   Alkan Gürsel
Fall,CHEM 405,0,11931,Electrochemistry,8:40 am - 10:30 am,F,Fac. of Engin. and Nat. Sci. L029,Selmiye   Alkan Gürsel
Fall,CHEM 505,0,11932,Electrochemistry,11:40 am - 12:30 pm,R,Fac. of Engin. and Nat. Sci. L056,Selmiye   Alkan Gürsel
Fall,CHEM 505,0,11932,Electrochemistry,8:40 am - 10:30 am,F,Fac. of Engin. and Nat. Sci. L029,Selmiye   Alkan Gürsel
Fall,CIP 101,0,10298,Civic Involvement Projects I,12:40 pm - 3:30 pm,M,,Zeynep   Bahar
Fall,CIP 101N,A,10322,Civic Involvement Projects I-N,12:40 pm - 3:30 pm,M,,Zeynep   Bahar
Fall,CIP 101N,AY,12158,Civic Involvement Projects I-N,12:40 pm - 3:30 pm,M,,Zeynep   Bahar
Fall,CIP 101N,B,10323,Civic Involvement Projects I-N,12:40 pm - 3:30 pm,T,,Zeynep   Bahar
Fall,CIP 101N,BY,12159,Civic Involvement Projects I-N,12:40 pm - 3:30 pm,T,,Zeynep   Bahar
Fall,CIP 101N,C,10325,Civic Involvement Projects I-N,12:40 pm - 3:30 pm,W,,Zeynep   Bahar
Fall,CIP 101N,CY,12160,Civic Involvement Projects I-N,12:40 pm - 3:30 pm,W,,Zeynep   Bahar
Fall,CIP 101N,D,10326,Civic Involvement Projects I-N,12:40 pm - 3:30 pm,R,,Zeynep   Bahar
Fall,CIP 101N,DY,12161,Civic Involvement Projects I-N,12:40 pm - 3:30 pm,R,,Zeynep   Bahar
Fall,CS 201,A,10190,Programming Fundamentals,12:40 pm - 1:30 pm,M,Sabancı Business School G071,Saima   Gül
Fall,CS 201,A,10190,Programming Fundamentals,11:40 am - 1:30 pm,W,Fac. of Engin. and Nat. Sci. G077,Saima   Gül
Fall,CS 201,B,10192,Programming Fundamentals,1:40 pm - 2:30 pm,M,Sabancı Business School G071,Saima   Gül
Fall,CS 201,B,10192,Programming Fundamentals,2:40 pm - 4:30 pm,W,Fac. of Engin. and Nat. Sci. G077,Saima   Gül
Fall,CS 201R,A1,10195,Programming Fundamentals Recitation,5:40 pm - 7:30 pm,R,Sabancı Business School G060,Saima   Gül
Fall,CS 201R,A2,10197,Programming Fundamentals Recitation,5:40 pm - 7:30 pm,R,Fac.of Arts and Social Sci. G049,Saima   Gül
Fall,CS 201R,A3,10198,Programming Fundamentals Recitation,5:40 pm - 7:30 pm,R,Fac. of Engin. and Nat. Sci. G035,Saima   Gül
Fall,CS 201R,B1,10200,Programming Fundamentals Recitation,12:40 pm - 2:30 pm,R,Fac. of Engin. and Nat. Sci. G035,Saima   Gül
